"","Time (s)","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 11","Trial 12","Trial 13","Trial 14","Trial 15","Trial 16","Trial 17","Trial 18","Trial 19","Trial 20","Trial 21","Trial 22","Trial 23","Trial 24","Trial 25","Trial 26","Trial 27","Trial 28","Trial 29","Trial 30","Trial 31","Trial 32","Trial 33","Trial 34","Trial 35","Trial 36","Trial 37","Trial 38","Trial 39","Trial 40"
"120",119,2,1,2,2,0,1,0,2,0,2,1,0,2,0,1,1,2,2,2,0,2,2,1,2,2,1,1,0,2,1,1,0,1,2,2,2,1,1,2,2
"121",120,2,1,2,1,2,1,1,1,2,1,1,2,3,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2
"122",121,2,2,1,0,0,2,1,2,1,0,1,1,1,0,2,2,1,1,0,2,0,1,0,1,1,3,1,2,1,2,1,1,2,1,1,1,2,2,0,1
"123",122,2,3,1,1,2,2,0,1,1,1,1,2,2,2,2,3,3,2,0,1,1,1,2,2,0,1,1,0,1,1,1,1,2,1,1,3,2,2,1,2
"124",123,1,2,2,2,2,1,0,1,2,1,3,1,2,2,2,1,3,2,1,2,0,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2
"125",124,2,1,1,1,2,1,0,1,1,1,1,1,1,2,2,2,2,1,1,1,2,0,1,1,2,2,1,2,2,2,1,1,2,1,1,3,0,1,1,2
"126",125,0,2,2,1,3,2,2,1,2,1,2,2,2,0,0,1,1,1,1,2,1,2,2,1,1,2,0,1,0,1,2,0,2,1,2,2,2,2,1,2
"127",126,1,1,2,1,0,1,1,1,1,3,1,1,1,0,2,1,2,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2
"128",127,2,1,2,1,2,2,0,0,2,1,2,1,1,0,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,0,2,0,1,2,2,2,2,1,2,1
"129",128,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,0,1,1,2,1,0,1,1,2,0,1,2,1,1,1,1,1,2,1,0,2,1,2,1,3
"130",129,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,3,1
"131",130,1,1,2,1,0,2,0,2,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,0,2,0,2,2,2,0,2,1,1,1,0,3,1,1,2,2
"132",131,1,1,1,1,2,3,2,2,1,1,2,1,1,0,2,2,2,0,2,2,2,0,2,2,1,1,2,1,3,2,1,1,1,1,0,1,1,2,2,2
"133",132,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,0,1,1,1,1,2,2,2,1,2,1,0,1,1,0,2,2,1,3,2,1,2,2
"134",133,1,0,1,1,2,2,1,2,2,0,1,1,2,1,0,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,0,2,1,3
"135",134,2,1,1,1,1,2,1,2,2,1,1,1,2,0,1,2,2,1,1,0,1,2,2,2,2,2,1,2,1,2,2,1,2,1,0,3,1,2,2,2
"136",135,1,2,3,2,2,1,1,2,2,1,1,2,1,1,2,1,1,0,2,2,2,2,2,1,1,1,3,3,2,1,1,0,2,1,1,1,0,2,2,1
"137",136,1,1,2,0,1,2,2,0,0,1,3,2,2,0,2,0,2,2,2,0,1,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,0,1,2,3
"138",137,1,3,0,2,1,2,2,1,3,1,0,2,2,0,1,1,2,1,2,2,0,1,3,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1
"139",138,2,0,1,1,2,1,2,1,1,1,2,1,1,0,2,2,0,0,2,2,1,3,2,2,1,1,1,2,2,2,2,1,3,2,1,2,1,2,3,2
"140",139,1,2,1,0,1,2,0,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,0,2,2,1,0,2,1,2,1,1,2,1
"141",140,1,1,1,2,0,2,1,3,2,1,2,2,2,1,1,2,1,1,3,2,0,2,2,1,2,2,1,0,1,2,1,1,3,2,2,2,0,2,2,2
"142",141,1,2,1,2,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,2,0,2,2,1,2,2,4,2,0,1,1,2,3,1,1,2,1,3,1
"143",142,1,1,1,1,1,1,0,2,1,1,2,1,1,1,1,2,2,0,1,2,3,1,1,2,3,2,1,2,1,1,2,0,2,2,1,2,2,1,2,2
"144",143,1,2,1,1,0,1,0,1,2,2,0,2,2,0,1,0,1,2,2,2,1,0,2,2,2,1,1,2,1,1,2,0,3,1,0,0,2,1,2,3
"145",144,2,1,2,2,2,2,2,1,2,2,2,2,0,1,1,1,3,0,2,2,3,1,3,1,2,2,2,2,2,2,1,1,0,2,1,2,1,1,1,2
"146",145,1,2,0,2,2,1,1,2,2,2,2,1,1,0,2,1,1,1,1,1,1,2,0,1,1,2,1,2,2,2,2,1,2,2,1,2,0,1,1,1
"147",146,2,1,2,1,2,1,0,2,2,1,1,2,2,1,0,2,2,2,2,0,3,1,3,2,1,1,0,3,1,0,2,1,2,1,1,1,1,1,1,2
